"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"FGR",7.42401897652501e-05,0.00014184019776275,0.000786096486727503
"CFH",0.00044448869042661,0.000672613009742952,0.000309226332197898
"TFPI",0.0104353602253875,0.0115111484977174,0.00817200594832081
"SLC7A2",0.0315882473817969,0.0399141843328171,0.015528636837698
"HSPB6",6.9316053835061e-07,5.26184762655193e-06,5.11383902696278e-05
"PDK4",2.88302973465239e-07,1.41597638981639e-06,6.86057769789846e-05
"MEOX1",0.00115853770085602,0.00207631617976092,0.00113662974207521
"THSD7A",0.00161947133195367,0.00203167744798058,0.000656187763031138
"COPZ2",8.2142857292785e-05,0.000108042814446634,0.00183038526816218
"PRKAR2B",3.05030918416252e-10,3.21850253893028e-09,0.000105285416452005
"GAS7",0.00267960604952184,0.0033614635536061,0.00269785968548389
"MATK",0.0318091458112163,0.0447933889646127,0.0138606702417477
"SELE",5.53741112954937e-05,0.000227114621996543,0.0151592581535517
"CYTH3",0.00449261838399979,0.00474416103261925,0.0203534486611969
"AASS",5.18743163317686e-05,6.273600718257e-05,0.00140545755631755
"NFIX",7.81287342885235e-05,0.000114748229398282,0.00120291393209982
"ST3GAL1",0.00404045688710846,0.00554446325723292,0.00804180893733961
"MMP25",3.66383183203095e-05,0.000103771534505865,0.00204245071435694
"TRAF3IP3",0.0211911095599737,0.0245476580528333,0.00474903894320359
"IFFO1",0.00677153195196496,0.00871288497763399,0.00517417764947856
"SEMA3G",2.85796837860788e-09,2.26037582267759e-08,3.44058153545465e-05
"STAB1",0.000757787832636614,0.00116694028246651,0.00127125139899472
"FYN",0.0320437882273061,0.0313691432253339,0.0194761372481033
"FMO1",0.00461118141541078,0.00634147366690393,0.0150744488834678
"MRC2",0.011640877661045,0.0131083014925807,0.0103035693124579
"TSPAN9",0.0225035286779449,0.0232719586768291,0.0349788071060375
"DCN",2.67807122831321e-08,1.70492339433911e-07,0.000109208266041668
"CEP68",0.0004006170051979,0.000729139211592552,0.0039802204950182
"CALCOCO1",1.02185105862735e-06,5.54940105709267e-06,0.000118206569045301
"EHD3",0.0100445214347387,0.0130997621105979,0.0491718537601897
"CLDN11",0.00145361644273382,0.00196641741960848,0.00438604260973363
"WAS",0.0050024655965479,0.00743052670392852,0.00172736078149989
"IGF1",5.6543981831074e-09,8.01296587156424e-08,0.000149827883037716
"CNTN1",0.0404446291063593,0.0394297457216568,0.0122136458063961
"WWTR1",0.000289130740986346,0.000376181188742567,0.00114044336114406
"ATP1A2",2.72000098677273e-06,1.52502615478066e-05,0.000164472933592822
"PHLDB1",0.00945782456235166,0.0104867361548651,0.00883520073284195
"HGF",0.000342035655213618,0.00050043277245656,0.000299426537142706
"ADGRA2",0.00436435173791107,0.00497711899518531,0.00412203468316067
"SAMD4A",0.000115173348689406,0.000160968269959783,0.000501333317424819
"FHL1",4.41220660776901e-18,1.2405774879077e-14,1.18391605405358e-06
"PLEKHO1",0.00572034440708518,0.00660420774488595,0.00229647052578935
"HSD17B6",0.000699640322100775,1.35627029006105e-06,0.0457332547372451
"VIM",0.000439961322338797,0.00062905760908235,0.00218874930844017
"PRKCH",0.00499260933046034,0.00646090353886151,0.00146933729730917
"TNFRSF1B",0.000818603588088209,0.00103197446280541,0.00100925300726123
"RABEP1",0.0258086136274512,0.0239834092388694,0.021636227120374
"MUSK",0.00114460404439913,0.00210963717633517,0.00757873590768885
"ARHGAP31",0.000744387767224326,0.00106578705710039,0.00134718587596145
"GAB2",0.000720774814023577,0.000881690808391001,0.00252388636128081
"MYOC",1.10221619603052e-11,1.79972637209772e-08,0.0020247186367957
"TIMP2",9.42381264015165e-05,0.000132949422348619,0.00111112884183998
"USP2",0.000890419053840001,0.00121895837198383,0.0159272261114308
"FLT4",0.000480024865945409,0.000654238940053977,0.00057029381132937
"TLL1",1.87770235001617e-05,5.37246861659596e-05,0.000353522340015161
"C6",2.49917084558197e-07,2.69024115653898e-06,0.000743863773858985
"RIPOR3",0.010238693505615,0.0123903525321586,0.00174699053891531
"LCP2",0.0291803985589202,0.0340893725669408,0.0083912326079291
"PREX2",3.02689721440188e-06,5.96036345635814e-06,9.45794066608535e-05
"ANO2",0.00119762178085158,0.0021656500560913,0.00167948351577057
"ARHGAP6",2.0858944656987e-07,9.62304140238616e-07,1.43927039478726e-05
"LMO3",0.02284116259828,0.0238851073479028,0.00731338908787807
"CELF2",0.00010168992063672,0.000146349775879856,0.000253554678241241
"LTBP1",0.00466449971084581,0.00555869404642653,0.0483065489432844
"ELN",0.000165810585798924,0.000351546305025442,0.00130320444810581
"PTGER3",3.74287533770136e-12,1.71534030962691e-10,4.33310348749875e-05
"FOXN3",0.0108110024947427,0.0105945362575399,0.0205707612615503
"METTL24",0.00017790151044218,0.000471490016268852,0.00160603258002873
"CBLN4",0.00504712410647001,0.0104562847977446,0.00406919650650425
"CHRDL2",0.0264169121167861,0.0370455689269788,0.0190034660490681
"CCDC85A",0.0191086450933703,0.0223013037544765,0.0147274731198948
"SLC2A3",0.00764785913472084,0.00999037185173993,0.0477927870215941
"YBX3",0.00260032918131351,0.0027392345573505,0.0110790840768579
"PRDM6",8.95766613755847e-05,0.000142955208573486,0.00224748719825568
"CCN5",1.3257521551307e-06,1.27177994077512e-05,3.51353777520699e-05
"NGFR",0.00438205111612078,0.00853960301061723,0.00150949286949774
"CDON",0.000516210311486327,0.000516432113086104,0.00149150029064516
"CALCRL",0.00254116756484698,0.00286068290324216,0.00306282365531844
"NHERF2",0.00262228288019522,0.0032788049159528,0.00520635930279111
"NTN1",0.0131196278126028,0.0147101329727736,0.0213388725639633
"GLP2R",8.93735035397797e-11,2.32347174106216e-09,2.03421090278091e-05
"ANKRD44",0.0397563223350228,0.0384193732039063,0.0134220948514505
"MYLK",1.36774135572805e-08,3.96812203369235e-08,7.3762970712889e-05
"ME1",0.0029942380404164,0.00362453163864283,0.00966417010907595
"TIE1",6.28586612233506e-05,9.19156563411628e-05,0.000239967327230241
"SPI1",0.0220609458115558,0.027644945192159,0.00814203729754966
"EML1",2.28822302169702e-06,3.07911856640532e-06,0.000231526112615857
"PLPP1",8.52196134813953e-07,2.84406356847159e-06,4.41164323735738e-05
"TNFRSF1A",0.000499604242862037,0.000730370030197172,0.00212239887086286
"NAV3",2.1963724284679e-07,6.73481758749139e-07,5.14531696974291e-05
"PDZD4",0.0327462667548705,0.0356666258928493,0.0118089653950858
"HYAL2",0.00369108843879911,0.00588089918026713,0.0095226361016512
"RASGRP2",3.54155445183891e-05,8.65467300320127e-05,0.000234939320066467
"PYGM",2.32378120353776e-05,5.36508018334203e-05,0.000152221430089503
"ADGRF5",0.00132196215406572,0.00129147923840879,0.00428531587764489
"ABCC9",1.34157377648229e-08,5.33727880761534e-08,2.00266623654271e-05
"TGFBR3",1.83782769011681e-09,7.61790444118398e-09,6.8063648403293e-06
"NEDD4",0.00221285148238125,0.00243071697672531,0.00609194764337756
"PTPN21",0.00968990658948273,0.0101275743463146,0.0089949936772485
"ARHGAP10",0.00012051732130046,0.000141468474754226,0.000516683451825863
"RPS6KA2",0.000505690196919523,0.000768913583432088,0.00115609088532651
"LMCD1",5.12932758989931e-06,1.28595966063376e-05,0.00158771088835966
"CYBRD1",1.09522705621985e-09,7.30839499473743e-09,2.00266623654271e-05
"LIMS2",7.15864795262683e-05,0.000139726942658964,0.000260675655052639
"SPEG",0.00477773294414946,0.0061671648930617,0.01441128493118
"FCGR2B",0.0256202121118711,0.0287356612493981,0.00341098427509001
"STK10",0.0113184561198748,0.0139631189524492,0.00424612706462973
"SIDT1",0.00128859306011216,0.00205512079149628,0.00303678286894856
"IRAG1",2.06997673480217e-06,4.27220275461789e-06,0.000347207855644616
"FERMT2",1.82731492041846e-06,2.82481218061596e-06,0.000145551327560533
"PTGS2",0.00675675201320965,0.00826866996021541,0.0390136485438948
"SCARF1",0.00608012750724046,0.0096429177165289,0.00444417577531462
"IPCEF1",0.0151051007592506,0.0189512085649758,0.00552366629651921
"FOSL2",0.00379708220391951,0.00474732552161222,0.0122819173039602
"ARHGAP15",0.0101974134013089,0.0110809172824202,0.00574885695808196
"ACACB",7.60041757483086e-10,4.0609769718343e-09,0.000100354559855924
"ICAM3",0.0268011148177853,0.0337592446089592,0.00492637381509808
"MCAM",4.25773760526222e-09,1.72561921978739e-08,3.31645237313787e-05
"PPP1R12B",3.11466834102032e-08,9.55842869625767e-08,4.41164323735738e-05
"APBB1IP",0.027123271061514,0.0299772943441116,0.00757715095167585
"ACTN2",0.0004006170051979,0.000762734564873696,0.00032470558382178
"NAALAD2",1.08038490595916e-05,2.16958634396642e-05,0.00426899714745046
"JADE1",0.00125197482974801,0.00191072760181335,0.0026568922704797
"FGFR1",0.024907979321059,0.026865704473477,0.00593383452971766
"FBLN1",1.18794702114044e-06,5.25508307294748e-06,0.000190979836448161
"ITGA8",1.23842401461098e-05,1.90589797281986e-05,0.000743049058040542
"CST7",0.0288459628602189,0.0347942414821335,0.00375054716010939
"ADCYAP1R1",1.51700467446746e-06,7.56021476508578e-06,0.000361421662853151
"ITM2A",0.00109615028254119,0.00151447803034854,0.00266089330900846
"RUNX1T1",0.0260340107366384,0.0276464925163252,0.00951247826047192
"FKBP7",0.0052858770282257,0.00521178808558725,0.011957517737934
"TNS1",1.21148693319725e-05,2.25965592047094e-05,0.000375653527591422
"RAPGEF3",0.0138862841929293,0.0169697016207079,0.00634400525347333
"EPB41L2",2.17175981241376e-06,4.28414789796565e-06,0.000357682467802802
"SESN1",0.00924811605614115,0.00891087782153251,0.0205707612615503
"MID2",5.06046007164445e-06,3.01555211159097e-05,0.00011684362184577
"CXCL2",0.0013730127486065,0.0018290158813796,0.0149880342066762
"COL4A4",0.00344423200520211,0.00331174046844217,0.00285487320791449
"MEF2C",1.07152771819111e-05,1.56163273496263e-05,0.000448385021626253
"STK17B",0.00249730387867103,0.00315427885045457,0.00597029306485042
"PCDHGA2",0.0387385921392249,0.0446636710922359,0.0142019253740489
"SMARCD3",0.00254510161705291,0.00463857135919996,0.00338156753237898
"PGR",0.000957464681617226,0.00141308408236079,0.00306346176854559
"C1QTNF3",0.0125443050598816,0.0131011770333557,0.0178675637353162
"EPB41L3",0.0189594918185366,0.0168526995722976,0.0164983134867618
"ITGB5",0.0066805727315508,0.00834333800401673,0.024433675657767
"SMAP2",0.000478412049645279,0.000704164006964152,0.00141096905512254
"FCN1",2.09888960483646e-11,4.87188084899192e-10,1.45029960101897e-05
"ABCB1",0.0392585916661406,0.047765813531609,0.00818245265117352
"DIMT1",0.00548797253896686,0.00907962450029341,0.0272353873631473
"PPP1R15A",7.84470857529982e-05,0.000105040022798036,0.000680266981918166
"HSD17B14",0.0100136247326717,0.0148884566422656,0.00603722313989492
"MMP2",0.0135775769765268,0.0158258351811677,0.0144512970271323
"NID2",0.000756108293124241,0.000879650459314189,0.00918635977155314
"PTHLH",0.0283241857669875,0.0376670688612402,0.0367539434484034
"CASS4",0.000435128718405576,0.000899772630698761,0.0004689761559477
"REM1",0.00139865695543167,0.0018434217485571,0.0110790840768579
"C3orf18",0.0328683516198285,0.0404684282351836,0.0380139334467895
"ARHGAP28",0.0153934208362069,0.0162593668020845,0.00627146638291592
"CPXM1",0.000556242778448407,0.000945531353731662,0.033753850782907
"SLC23A2",0.0215656026167686,0.0213269722751719,0.0327444019464577
"IRAK3",0.0299233498854357,0.0343900771269617,0.0494384594796384
"CHRD",0.00399995040289734,0.00555869404642653,0.00776459631300389
"CD209",2.21448347210144e-06,6.70488268425848e-06,0.000388712439205303
"MAP3K20",0.00397723104130582,0.00363144815815017,0.00169311740430904
"NLRP1",0.0383637131925324,0.041165301347928,0.00723630457646276
"ESR1",0.00959134853312128,0.0113871760606586,0.00465001898735757
"CD200",0.0330321666184298,0.0325934288976036,0.0261130359688564
"CCDC80",8.06572061498446e-08,5.95304329391176e-07,0.000151793200346557
"CMA1",1.5162858708932e-09,3.05689047463826e-08,0.000149290813725652
"SLC22A17",0.00654171957593673,0.00907666921509294,0.0030026872065852
"DPYSL2",0.000229264384167385,0.000402520869771032,0.00100766290701346
"FMO2",1.88581628077914e-06,7.83075612657248e-06,0.000334618734162319
"SH2D3C",0.00361380303958033,0.00549202223897926,0.00271319289234098
"SORBS1",2.74143339379794e-09,8.92307366601249e-09,1.98791216677796e-05
"CREM",3.03653798186537e-05,5.69064579428954e-05,0.00753243892042125
"FKBP5",0.00684268972757923,0.00802704494363439,0.0233880314552217
"ABL1",0.000490869941625317,0.000621335449186102,0.00183786088311103
"NRP1",0.00139186722029421,0.00167157653422082,0.00334465531503133
"PALMD",5.38999962327897e-05,9.74556759836104e-05,0.0013026619124109
"MARCHF2",3.44096739952333e-05,0.000113697800580481,0.000312726551430274
"GADD45B",4.55015331100936e-11,6.74137281172018e-10,2.33021143630603e-05
"PALM",0.000120534056346652,0.000222743488511473,0.000487172068786424
"PPM1F",3.38301758662722e-05,0.000103312736635678,0.000251309877319138
"CYTH4",0.00940521198932673,0.0109907029471278,0.00234056407592624
"LGALS1",0.0229352022945548,0.0227406995326333,0.0245009975457527
"TTC28",0.0166479117109802,0.01713609955261,0.0028437637418129
"TIMP3",0.00196193539546773,0.00294029288467099,0.00386013593159208
"CYB5R3",0.000673394411713057,0.00097436213481871,0.000809277370760163
"CBX7",0.00622309386818773,0.00803286538622392,0.0108736002725013
"GRAP2",0.0113114535156568,0.0152998339828634,0.00462629720727324
"NCF4",0.00152666790759079,0.00206695773033714,0.00205820120548271
"CSF2RB",0.0422203066207727,0.0436949076800485,0.00523566105036539
"CTSG",3.20141160620546e-11,3.79853806685892e-09,1.71748785069982e-05
"RIN3",0.0325635297975668,0.0380659134777371,0.0323785182406839
"LGMN",0.0173913102542074,0.0180769917301603,0.0351335075077249
"GALNT16",0.0140931961252,0.0157582654012394,0.000589599475400145
"ASB2",0.00199886656196617,0.00285787566463837,0.00181289553664672
"SRSF5",0.000584808851381127,0.00090103360928787,0.00124199984459567
"SLC10A1",0.00206321799312213,3.26945483138072e-05,0.0126863911770574
"TCL1A",0.0317900820591489,0.0381843983630543,0.0444050200764394
"BDKRB1",4.36505857311547e-05,0.000176370548970671,0.00495017755244133
"EFS",0.00289926417485215,0.00410569450757974,0.00205192942227608
"NFKBIA",0.0021921267790799,0.00328093065868111,0.00285487320791449
"NFATC4",0.00259672664561548,0.00294029288467099,0.00167596603753039
"PLTP",8.172585976025e-05,0.000126601864935356,0.00154337493479192
"TUBB1",0.000524190666582128,0.000982842165641743,0.046320566834361
"RASSF2",2.04291664633219e-07,5.53633297577857e-07,5.41494850918654e-05
"ANGPT4",0.0274638839201763,0.0299053070693816,0.0258453698607918
"CCM2L",0.002331999004667,0.00305503002644345,0.00266294085875601
