"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"SCYL3",0.00249459491352445,0.00649187237303967,0.0196706711959032
"FIRRM",1.68969136831568e-07,2.67843108303944e-06,0.000200581293795537
"ICA1",0.0072447603414551,0.0118631762344573,0.0272422346628627
"DBNDD1",0.00227141378367371,0.00465007515727492,0.00487593088592844
"FKBP4",0.00572748528845066,0.00884479309001685,0.0304235076529794
"SLC25A5",0.00357293320255735,0.00785685717103047,0.0130685904424535
"WDR54",0.000155795751829381,0.00135297895542611,0.00665052309194715
"ITGA3",0.00505761801163971,0.00710942981114083,0.00383820181162692
"TMEM132A",1.63591745167587e-05,4.17118278461155e-05,0.002103877823407
"MAP3K9",5.22674996536329e-05,0.00015462249187477,0.000169401347682854
"TRAPPC6A",0.00302708361329321,0.00678626826435717,0.0243092745236577
"PAX6",3.72587628044607e-05,0.000117307983283306,0.00204513950592224
"E2F2",1.59611408639552e-05,5.66620010287058e-05,0.00144332347232652
"CYB561",0.00101832949216307,0.00217615017669549,0.0111893333437561
"CELSR3",6.3470064117701e-05,0.000160487816917279,0.00134718587596145
"MAPK8IP2",0.000537640539226392,0.00126652674070015,0.00639346987968862
"MED24",0.00486313906052976,0.00239428899629637,0.0366120952374278
"METTL13",0.000539319806088636,0.00223796698816364,0.00680580272223698
"NCAPD2",1.03291407993597e-06,3.76953949867412e-06,0.000468218341582666
"MKS1",0.0006141549516728,0.00333100487810658,0.0105930242968935
"ANLN",2.09290500004913e-06,1.503519381497e-05,5.14531696974291e-05
"BRCA1",4.97767857818736e-07,2.16430578055408e-06,0.000369530692719735
"PRICKLE3",0.00438205111612078,0.0106512654069011,0.0293861115024414
"SLC25A39",0.0207856303270301,0.0348548664803455,0.0215709183361591
"DDX11",0.000132697594015606,0.000238438173750912,0.000494067275133939
"ATP2C1",0.000131723430635789,0.000404721088940667,0.00169701483580117
"ZFP64",0.00359149347155082,0.0119325005026541,0.0219374261616533
"DEPDC1",8.83902292608565e-10,2.96959972840487e-08,2.060734631168e-05
"MIPEP",3.87841035627964e-05,0.000164408747033763,0.00208747254550386
"BMAL2",0.000219330960716568,0.000398628150748197,0.00487326740675444
"TFB1M",0.00773797700670982,0.0245784258796102,0.0171327475211209
"HMGB3",0.00137816550390556,0.00251906615655751,0.000535158178622638
"EIPR1",7.46142136769219e-06,6.76812270712318e-05,0.000477784976040295
"FAM136A",7.97446840337479e-06,2.85256823668473e-05,0.000751732299187592
"PI4K2B",0.00321780357352252,0.00545693579658506,0.0406391643277757
"DNAH5",2.20223882768628e-07,1.95850889482213e-06,0.0019813355085156
"RTN4R",0.000234367298627665,0.000489550606220484,0.00570676671891292
"RAB27B",0.00357780686272373,0.00665549467038568,0.00831120144944067
"CAPG",0.00083709813023825,0.00167873214757561,0.00439626533807169
"DSG2",0.00126894799420562,0.00261635693564892,0.00084212728848083
