"genes","Coefficient","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"B4GALT1-AS1",-0.579506117199753,0.000846035999908989,0.00168132515973447,0.00148865209390441
"ALDH1B1",-0.42710032456072,0.000228964515310806,0.000269385410607226,0.00261223669972258
"MAPRE2",-0.376235089436759,6.54511435144956e-05,0.00026442133686781,0.000643094923089805
"RNVU1-15",-0.353451006431506,8.39570901443966e-05,0.000161444213908904,0.000890220916343526
"RNU6-8",-0.294910902955385,7.279871973065e-05,0.00011843429877906,0.00134718587596145
"TPM1",-0.289277917678675,0.00046264902539479,0.00065088543197294,0.00495803769031386
"EID1",-0.28909690189584,0.000465593456285025,0.00117538166267774,0.00169349254066343
"LINC02883",-0.267447241445624,0.0029063547744806,0.00542168516006387,0.00471086973874135
"CCDC107",-0.232396654353911,0.000200975029262616,0.000675881194068111,0.00186694594018672
"GNA14",-0.217024274696552,1.85564531475816e-05,3.76730543597463e-05,0.000104775667469069
"MAP3K20",-0.213368901108259,0.00397723104130582,0.00363144815815017,0.00169311740430904
"POLG-DT",-0.20352314365611,3.38628956594054e-18,1.29968825575297e-14,1.35124998529766e-05
"DNAJC8P1",-0.193197061939999,0.00598446874407741,0.00824674904740587,0.027940103100515
"LINC00324",-0.188730486681884,6.39214152311557e-05,0.000233226155551086,0.00111815769576223
"SVIL",-0.170677541152077,6.36952505389916e-07,1.24418123918434e-06,7.77140135842437e-05
"RASD1",-0.158877412151778,9.7001307403324e-12,1.95461063944298e-10,1.18391605405358e-06
"CDK13-DT",-0.157550298504728,0.00767434232118853,0.00940042394053534,0.0164944169081136
"BABAM2",-0.147983211046213,7.70285169000225e-05,0.000266335500568038,0.00207228277694874
"SH3D19",-0.14267982850795,1.42499081444126e-08,3.02383216773525e-08,1.86102308693501e-05
"SLC38A2-AS1",-0.137919088685911,1.69610419433044e-06,4.22043361655704e-06,0.0001727353860375
"TSPOAP1-AS1",-0.125694189430651,0.000800051981823364,0.00142631936363849,0.000958309383960596
"GPAT3",-0.121254423081908,0.00488990278039612,0.00726331816259729,0.00818245265117352
"RHOB",-0.117101932156046,3.73944771977624e-06,1.00504914483796e-05,8.70595554735613e-05
"ZNF24TR",-0.117011355171178,6.17121225490131e-05,7.83915446846785e-05,0.000366451525167493
"FCN1",-0.0987975849705195,2.09888960483646e-11,4.87188084899192e-10,1.45029960101897e-05
"ACTC1",-0.0943738716179707,6.73995246860951e-05,0.000250439193526363,0.0002937682007357
"DPT",-0.0891227795953677,6.27289542049075e-13,1.27021410401591e-10,5.15730381819457e-06
"LRRC2",-0.088323581525497,1.81152448774e-08,9.52633986704778e-08,1.43927039478726e-05
"CYP1A1",-0.0869242763210223,6.36534297793377e-06,5.37246861659596e-05,0.00430280153450082
"SELENOP",-0.085301224955592,1.23885820566174e-07,2.70706747800169e-07,4.2325842632431e-05
"PCBP1",-0.0833373001531085,0.00903237491446681,0.0155575867421788,0.0451720472134459
"FCER1A",-0.0812838649929028,5.32227438523666e-10,1.51748880102619e-08,7.66338447092036e-06
"RAB7B",-0.0785867925522481,0.01572438923799,0.0189580610525419,0.00394798811653421
"PCK1",-0.0761711181914457,0.000139433704456624,1.80066205781763e-05,0.0137481848914791
"LINC03108",-0.0717665113138625,2.03197380110416e-06,7.48267143179512e-06,0.000145967762769455
"MIR223HG",-0.0709616372575469,4.2031851909766e-09,3.17981752787259e-08,2.22789843274697e-05
"RPL11",-0.0653876475836793,0.00425415489505362,0.00627625340901539,0.0105041245160416
"MOB3C",-0.0646217352579991,2.97626760057137e-06,1.38133997703302e-05,0.000101914443696579
"GPM6A",-0.0603389272069673,3.93573435899672e-14,1.74546878175106e-11,5.71819948061379e-06
"TESK1",-0.0597298484012318,0.000400336777005234,0.00168503141872665,0.00138232561179597
"TCEAL1",-0.0566602618278681,0.00140681063122635,0.00175086435789247,0.00397651613925047
"SLC25A25",-0.055368359539827,0.0147454684085277,0.016123200091706,0.0090123880009861
"KLF2-DT",-0.0546340462368367,5.98983761238427e-05,8.39717142664255e-05,0.000443595593026787
"OSR1",-0.0538135392407256,7.44376313887171e-16,2.99489237387833e-13,2.22925828199409e-06
"PGM5",-0.0521878322398522,1.76658979618252e-18,3.3554087635681e-15,2.18517761500409e-06
"ID2",-0.048534696192253,0.00639596012586396,0.00647154258734921,0.00753598493576461
"FOS",-0.0471234018174443,1.09312430861806e-05,1.98731397373512e-05,3.62897919797304e-05
"SYT15B",-0.0466474367702128,1.57007694390739e-05,3.22474488570834e-05,0.000172853450198939
"GPAM",-0.0462641258811743,6.85577485149755e-07,9.86907586661807e-07,0.00238093723462867
"CITED2",-0.0454139923889669,8.2815974608493e-08,2.56105126685207e-07,4.09167898264898e-05
"LINC01012",-0.0436104127935835,2.28877692112498e-10,2.01887941424237e-09,0.000334618734162319
"CCN5",-0.0422643823390604,1.3257521551307e-06,1.27177994077512e-05,3.51353777520699e-05
"SIDT1",-0.0403597949159205,0.00128859306011216,0.00205512079149628,0.00303678286894856
"SLC25A4",-0.0402803785372723,0.0193600599434706,0.0175715152689983,0.0403920789814415
"SYNPO2",-0.0353136394533063,4.36940992322599e-14,6.51159838512611e-12,2.22925828199409e-06
"CDKN1C",-0.0304884431438554,3.07784726896842e-07,9.86907586661807e-07,0.000202328537255694
"PXDC1",-0.0294299411546722,2.09888960483646e-11,1.79835776867112e-10,6.64861574126178e-06
"COL4A4",-0.0285801367646347,0.00344423200520211,0.00331174046844217,0.00285487320791449
"RBM24",-0.0275157197270677,1.96997365117032e-08,1.13592738317445e-07,1.71748785069982e-05
"CLU",-0.0269016138602071,1.04771599872376e-06,3.21509974407267e-06,9.16718914170584e-05
"INAFM2",-0.021806337643298,0.00198935960297375,0.00292557477193487,0.00197955582606758
"MYH11",-0.0189821997497247,5.32227438523666e-10,1.58639174397304e-08,1.05081753305914e-05
"ACTG2",-0.0161385912041641,5.88973889787508e-09,1.11087186969838e-07,4.75322599512046e-05
"CTSG",-0.0156769050532959,3.20141160620546e-11,3.79853806685892e-09,1.71748785069982e-05
"PENK",-0.0141285964796017,5.66866334494793e-10,1.06966537496485e-07,0.000148752530824681
"TLNRD1",-0.0137541978784143,0.00233987326464913,0.00220698449916823,0.0200783535782148
"RNVU1-27",-0.0131414006827356,0.0484673247570563,0.0495097432807895,0.0412763705367349
"DES",-0.0121122367853579,2.97648202480395e-07,7.09976159979236e-06,7.18479606934407e-05
"WFDC1",-0.0117279478757431,3.71395855482878e-05,8.10459678288837e-05,0.00176934020294319
"TENT5A",-0.0104966912952192,1.32517660290149e-05,1.65856238190637e-05,0.000298735357727225
"RHOU",-0.00845861168837267,0.00375056726573824,0.0034852557132736,0.00786695269631967
"LYVE1",-0.00788932466499425,3.35978551954067e-18,1.02194908228085e-13,5.71819948061379e-06
"TPM2",-0.00523630832175756,1.95353385446646e-09,1.17463506448257e-08,4.41164323735738e-05
"FOS-AS1",-0.00510661031817865,8.81724987184772e-06,2.15457176171394e-05,5.9483348933039e-05
"POPDC2",-0.00494327914384689,6.00941199134819e-08,2.81272003617509e-07,0.000258701757829701
"PLN",-0.00408971904849921,6.87267231669171e-08,4.75294030088737e-07,4.41164323735738e-05
"SCARA5",-0.00246611671658535,1.95261435775218e-19,8.57264255433824e-14,2.22925828199409e-06
"SH3BP5",-0.00168413732411103,2.09888960483646e-11,3.40440543942622e-10,2.22925828199409e-06
"CLEC10A",-0.000497696403982893,2.35891530925879e-07,1.06394157628489e-06,1.91638229110502e-05
