"genes","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"TPM1",0.00046264902539479,0.00065088543197294,0.00495803769031386
"CCDC107",0.000200975029262616,0.000675881194068111,0.00186694594018672
"SVIL",6.36952505389916e-07,1.24418123918434e-06,7.77140135842437e-05
"RASD1",9.7001307403324e-12,1.95461063944298e-10,1.18391605405358e-06
"SH3D19",1.42499081444126e-08,3.02383216773525e-08,1.86102308693501e-05
"AGPAT3",NA,NA,NA
"FCN1",2.09888960483646e-11,4.87188084899192e-10,1.45029960101897e-05
"LRRC2",1.81152448774e-08,9.52633986704778e-08,1.43927039478726e-05
"CYP1A1",6.36534297793377e-06,5.37246861659596e-05,0.00430280153450082
"PCBP1",0.00903237491446681,0.0155575867421788,0.0451720472134459
"PCK1",0.000139433704456624,1.80066205781763e-05,0.0137481848914791
"MOB3C",2.97626760057137e-06,1.38133997703302e-05,0.000101914443696579
"ID2",0.00639596012586396,0.00647154258734921,0.00753598493576461
"GPAM",6.85577485149755e-07,9.86907586661807e-07,0.00238093723462867
"SIDT1",0.00128859306011216,0.00205512079149628,0.00303678286894856
"CDKN1C",3.07784726896842e-07,9.86907586661807e-07,0.000202328537255694
"COL4A4",0.00344423200520211,0.00331174046844217,0.00285487320791449
"CLU",1.04771599872376e-06,3.21509974407267e-06,9.16718914170584e-05
"PENK",5.66866334494793e-10,1.06966537496485e-07,0.000148752530824681
"DES",2.97648202480395e-07,7.09976159979236e-06,7.18479606934407e-05
"TPM2",1.95353385446646e-09,1.17463506448257e-08,4.41164323735738e-05
"PLN",6.87267231669171e-08,4.75294030088737e-07,4.41164323735738e-05
"CTSF",1.9779200466248e-05,2.314927186377e-05,0.000306182400393371
"ADCY4",0.00024985231698795,0.00048961769650766,0.000306986567206919
"C6",2.49917084558197e-07,2.69024115653898e-06,0.000743863773858985
"OGFRL1",0.00180841839024359,0.0017285417433518,0.00646563171203495
"HACD4",0.0354996131489104,0.0356889694207368,0.0277810186378215
