"genes","Coefficient","adj_p_DESeq2","adj_p_edgeR","adj_p_limma"
"GMPSP1",0.624307826566481,0.0009332951397397,0.00261512098901213,0.0123210587120342
"DLEU1",0.297936038094713,2.35424798816134e-11,2.96732762087093e-10,1.71748785069982e-05
"RTKN2",0.284106175298189,6.01516459101784e-09,1.35882089515021e-07,9.45794066608535e-05
"KRT18P63",0.272391920147212,0.0182854273818133,0.0278362019323438,0.0440970842554794
"LINC01572",0.272031734307275,0.000680064223117806,0.00150122367087065,0.0109086756187845
"HARBI1",0.260787512717271,3.98468621216403e-05,0.000996009139689471,0.00114044336114406
"SANBR",0.254197097312927,3.91918862320823e-06,5.5011310150731e-05,0.000400488938470518
"ALKBH6",0.206972023990972,0.00157759834989114,0.00591120824648703,0.0161185585976484
"RNASEH2B-AS1",0.20199306656316,0.000132886849048063,0.000342522484043542,0.016800821351333
"PACC1",0.195881865187738,0.00203452958452943,0.00929604270083574,0.0201388454162792
"ZNF223",0.186311972283165,6.73995246860951e-05,0.000628921150144931,0.00203267700765881
"GUCY1B2.1",0.17958880406364,0.000115572632539202,0.000183285324820412,0.00341098427509001
"FSD1L",0.176785979320968,3.24943510821369e-06,9.15979565493058e-06,0.00198906428764696
"DLEU7",0.170200441214668,1.91728862160329e-07,1.00725069299059e-06,0.00015669946958997
"LAMTOR5-AS1",0.166594871428898,7.01742930664034e-08,5.28132749782233e-07,3.61815633978657e-05
"FAM72B",0.160637383490955,1.83782769011681e-09,5.15292323725534e-08,4.99078030120435e-05
"TNFSF11",0.158799216190161,0.000216828026246681,0.000597357413717603,0.00172804150727866
"DCAF7",0.155766863481498,3.49219868668341e-05,0.000344065549379386,0.00137154988158486
"HASPIN",0.154508043455729,9.81333173433002e-08,2.01570322579823e-06,6.03222597902565e-05
"NFE2L3",0.151483880839371,8.5614584357322e-06,2.660179811097e-05,0.00140365945646294
"MREG",0.145139584168015,1.67562747508257e-06,1.17453083453416e-05,0.000325196203789615
"ITGB8",0.144332286672025,0.000341760255041524,0.000673974081670838,0.0254859312029287
"DIAPH3",0.139634876038616,2.48946827024409e-10,5.23461430849784e-09,7.66338447092036e-06
